ID;density;pH;sulphates;magnesium;alcohol;lightness;quality
406;1,00;3,36;0,76;0,35;10,10;0,104;6,00
407;1,00;3,24;0,65;0,60;10,80;0,100;6,00
408;1,00;3,18;0,63;0,67;10,80;0,100;7,00
409;1,00;3,19;0,70;0,99;11,30;0,091;6,00
410;1,00;3,05;0,57;0,14;9,60;0,112;4,00
411;1,00;3,38;0,62;0,62;9,50;0,110;6,00
412;1,00;3,38;0,62;0,58;9,50;0,107;5,00
413;1,00;3,27;0,64;0,69;9,30;0,108;5,00
414;1,00;3,27;0,82;0,18;11,70;0,093;7,00
415;1,00;3,26;0,61;0,62;9,50;0,106;5,00
416;1,00;3,32;1,07;0,62;9,30;0,115;5,00
417;1,00;3,26;0,66;0,15;11,70;0,093;6,00
418;1,00;3,44;0,48;0,86;10,50;0,102;5,00
419;1,00;3,24;0,76;0,70;10,40;0,104;6,00
420;1,00;3,62;0,68;0,82;9,90;0,102;5,00
421;1,00;3,28;0,73;0,98;11,80;0,090;7,00
422;1,00;3,52;0,56;0,38;12,30;0,082;7,00
423;1,00;3,36;0,44;0,61;10,90;0,097;5,00
424;1,00;3,15;0,90;0,18;11,00;0,099;7,00
425;1,00;3,36;0,44;0,24;10,90;0,096;5,00
426;1,00;3,52;0,56;0,16;12,30;0,086;7,00
427;0,99;3,49;0,49;0,40;11,40;0,090;6,00
428;1,00;3,26;0,56;0,50;10,60;0,099;6,00
429;1,00;3,24;0,60;0,54;9,30;0,111;5,00
430;1,00;3,10;0,60;0,44;10,40;0,101;6,00
431;1,00;3,15;0,90;0,13;11,00;0,094;7,00
432;1,00;3,25;0,56;0,58;9,20;0,109;5,00
433;1,00;3,00;0,65;0,60;12,80;0,082;6,00
434;1,00;3,16;0,49;0,93;9,50;0,110;5,00
435;1,00;3,15;0,89;0,83;9,90;0,107;6,00
436;1,00;3,16;0,49;0,36;9,50;0,108;5,00
437;1,00;3,26;0,56;0,17;10,20;0,107;6,00
438;1,00;3,17;0,66;0,27;11,20;0,098;6,00
439;1,00;3,15;0,89;0,69;9,90;0,108;6,00
440;1,00;3,08;0,60;0,91;9,30;0,116;5,00
441;1,00;2,88;0,82;0,37;9,80;0,106;8,00
442;1,00;3,06;0,68;0,85;11,30;0,097;6,00
443;1,00;2,95;0,68;0,98;11,20;0,098;7,00
444;1,00;3,23;0,63;0,13;11,60;0,090;7,00
445;0,99;3,57;0,84;0,88;12,50;0,085;7,00
446;1,00;3,23;0,56;0,46;10,10;0,107;6,00
447;1,00;3,10;0,73;0,91;10,50;0,100;5,00
448;1,00;3,22;0,72;0,35;11,20;0,099;5,00
449;1,00;3,20;0,56;0,20;10,20;0,105;6,00
450;1,00;3,10;0,61;0,31;10,80;0,100;6,00
451;1,00;3,10;0,61;0,93;10,80;0,097;6,00
452;1,00;3,06;1,06;0,94;9,10;0,114;6,00
453;1,00;3,44;0,63;0,40;10,00;0,101;6,00
454;1,00;3,26;0,74;0,74;11,20;0,097;7,00
455;1,00;3,50;0,63;0,42;11,10;0,099;5,00
456;1,00;3,22;0,69;0,42;13,40;0,084;8,00
457;1,00;3,37;0,58;0,09;10,30;0,100;5,00
458;1,00;3,28;0,58;0,28;9,60;0,112;5,00
459;1,00;3,26;0,74;0,94;11,20;0,096;7,00
460;1,00;3,25;0,57;0,35;9,00;0,111;3,00
461;1,00;3,35;0,61;0,62;11,30;0,094;6,00
462;1,00;3,26;0,61;0,36;9,30;0,112;5,00
463;1,00;3,18;0,61;0,43;11,80;0,086;5,00
464;1,00;3,08;0,53;0,31;9,00;0,116;5,00
465;1,00;2,98;0,70;0,95;9,20;0,111;6,00
466;1,00;3,48;0,91;0,85;9,70;0,108;5,00
467;1,00;3,16;0,72;0,58;11,50;0,096;6,00
468;0,99;3,32;0,79;0,11;14,00;0,072;6,00
469;1,00;3,17;0,62;0,24;9,20;0,112;6,00
470;1,00;3,20;0,58;0,25;9,80;0,109;5,00
471;1,00;3,05;0,61;0,04;10,60;0,103;5,00
472;1,00;3,20;0,71;0,86;11,40;0,094;6,00
473;1,00;3,15;0,82;0,64;10,40;0,106;6,00
474;1,00;3,26;0,79;0,52;10,60;0,095;5,00
475;1,00;3,20;0,89;0,94;9,40;0,115;6,00
476;1,00;3,14;0,60;0,31;10,20;0,098;5,00
477;1,00;3,28;0,70;0,52;9,70;0,111;5,00
478;1,00;3,18;1,06;0,29;11,00;0,093;6,00
479;1,00;3,14;0,60;0,67;10,20;0,102;5,00
480;1,00;3,19;0,70;0,59;10,10;0,102;6,00
481;1,00;3,12;0,66;0,27;9,20;0,113;5,00
482;1,00;3,15;0,92;0,38;11,70;0,091;8,00
483;1,00;3,04;1,05;0,64;9,40;0,107;5,00
484;1,00;3,04;1,06;0,15;9,40;0,107;5,00
485;1,00;3,06;0,66;0,27;13,40;0,081;6,00
486;1,00;3,17;0,47;0,07;10,00;0,107;5,00
487;1,00;3,17;0,47;0,83;10,00;0,105;5,00
488;1,00;3,17;0,42;0,42;10,00;0,107;6,00
489;1,00;3,32;0,92;0,55;10,80;0,097;7,00
490;1,00;3,34;0,75;0,80;10,20;0,102;6,00
491;1,00;3,31;0,67;0,04;10,60;0,104;6,00
492;1,00;3,34;0,79;0,62;13,30;0,075;7,00
493;1,00;3,32;0,90;0,11;13,40;0,078;7,00
494;1,00;3,48;0,74;0,02;11,60;0,091;6,00
495;1,00;3,44;0,55;0,50;12,10;0,089;6,00
496;1,00;3,15;0,65;0,91;11,00;0,100;8,00
497;1,00;3,43;0,65;0,18;9,00;0,120;6,00
498;1,00;3,32;0,79;0,70;11,10;0,094;5,00
499;1,00;3,15;0,65;0,50;11,00;0,093;8,00
500;1,00;3,48;0,74;0,94;11,60;0,091;6,00
501;1,00;3,43;0,65;0,48;9,00;0,115;6,00
502;1,00;3,17;0,85;0,65;12,00;0,090;7,00
503;1,00;3,17;0,85;0,51;12,00;0,089;7,00
504;1,00;3,18;1,04;0,21;10,90;0,095;7,00
505;1,00;3,21;1,05;0,34;10,80;0,094;7,00
506;1,00;3,16;0,78;0,24;12,50;0,089;7,00
507;1,00;3,25;1,02;0,25;10,80;0,097;7,00
508;1,00;3,17;0,71;0,24;9,50;0,112;6,00
509;1,00;3,18;0,63;0,08;10,20;0,103;6,00
510;1,00;3,04;0,68;0,73;11,40;0,095;7,00
511;1,00;3,02;0,61;0,62;9,50;0,109;5,00
512;1,00;3,18;0,63;0,02;10,20;0,106;6,00
513;1,00;3,03;0,81;0,49;9,70;0,108;6,00
514;1,00;3,09;0,66;0,40;11,80;0,094;7,00
515;1,00;3,09;0,66;0,17;11,80;0,092;7,00
516;1,00;3,31;1,14;0,85;9,30;0,117;5,00
517;1,00;3,25;0,74;0,82;11,90;0,093;6,00
518;1,00;3,16;0,63;0,06;8,40;0,127;3,00
519;1,00;3,22;0,68;0,30;11,70;0,092;6,00
520;1,00;3,36;0,78;0,51;11,00;0,095;5,00
521;1,00;3,42;0,90;0,25;10,00;0,106;6,00
522;1,00;3,48;0,64;0,31;9,10;0,110;5,00
523;1,00;3,38;0,99;0,38;9,80;0,109;5,00
524;1,00;3,22;0,55;0,68;9,40;0,116;5,00
525;1,00;3,23;0,64;0,89;9,50;0,111;5,00
526;1,00;3,24;0,67;0,11;9,90;0,103;5,00
527;1,00;3,36;0,78;0,36;11,00;0,097;5,00
528;1,00;3,39;0,77;0,85;11,40;0,088;6,00
529;1,00;3,34;0,75;0,38;8,70;0,122;6,00
530;1,00;3,09;0,57;0,55;9,40;0,111;5,00
531;1,00;3,41;0,87;0,88;10,30;0,107;6,00
532;1,00;3,16;0,61;0,42;10,30;0,100;5,00
533;1,00;3,16;0,61;0,64;10,30;0,100;5,00
534;1,00;3,22;0,66;0,93;12,80;0,084;6,00
535;1,00;3,28;0,56;0,85;10,00;0,105;6,00
536;1,00;3,41;0,87;0,61;10,30;0,102;6,00
537;1,00;3,09;0,57;0,07;9,40;0,106;5,00
538;1,00;3,37;0,77;0,07;10,70;0,100;6,00
539;1,00;3,20;0,66;0,33;12,00;0,088;7,00
540;1,00;3,22;0,62;0,87;11,20;0,091;5,00
541;1,00;3,26;0,67;0,94;9,60;0,108;5,00
542;1,00;3,21;0,73;0,81;11,00;0,097;6,00
543;1,00;3,12;0,59;0,09;9,90;0,109;5,00
544;1,00;3,06;0,72;0,62;11,00;0,097;6,00
545;1,00;2,86;0,79;0,58;8,40;0,128;6,00
546;1,00;3,08;0,59;0,91;9,10;0,116;5,00
547;1,00;3,45;0,78;0,79;9,50;0,111;6,00
548;1,00;3,26;0,86;0,99;10,70;0,097;6,00
549;1,00;3,12;0,75;0,73;10,40;0,101;6,00
550;1,00;3,27;0,61;0,23;9,40;0,112;6,00
551;1,00;3,33;0,56;0,46;9,50;0,105;6,00
552;1,00;3,19;0,73;0,67;10,00;0,105;6,00
553;1,00;3,12;0,74;0,48;10,00;0,107;6,00
554;0,99;3,74;0,62;0,74;11,50;0,095;5,00
555;1,00;2,92;0,74;0,46;11,10;0,095;5,00
556;1,00;2,92;0,74;0,25;11,10;0,091;5,00
557;1,00;3,07;0,56;0,01;11,70;0,094;6,00
558;1,00;2,92;0,74;0,17;11,10;0,096;5,00
559;1,00;3,07;0,56;0,66;11,70;0,091;6,00
560;1,00;3,30;0,68;0,43;12,70;0,081;6,00
561;1,00;3,14;0,57;0,53;11,40;0,096;5,00
562;1,00;3,23;0,58;0,81;9,20;0,117;5,00
563;1,00;3,08;0,61;0,81;9,20;0,110;5,00
564;1,00;3,31;0,61;0,73;10,10;0,099;6,00
565;1,00;3,30;0,68;0,70;12,70;0,085;6,00
566;1,00;3,14;0,57;0,20;11,40;0,097;5,00
567;1,00;3,32;0,60;0,62;9,00;0,115;6,00
568;1,00;3,32;0,60;0,61;9,00;0,114;6,00
569;1,00;3,31;0,79;0,87;10,70;0,100;6,00
570;0,99;3,57;0,57;0,78;11,70;0,089;6,00
571;1,00;3,32;0,91;0,08;11,00;0,091;6,00
572;0,99;3,57;0,57;0,90;11,70;0,095;6,00
573;1,00;3,14;0,61;0,76;10,40;0,102;5,00
574;1,00;3,30;0,56;0,88;9,60;0,112;4,00
575;1,00;3,19;0,70;0,81;10,00;0,104;6,00
576;1,00;3,20;0,80;0,05;10,20;0,104;6,00
577;1,00;3,34;0,52;0,57;10,00;0,105;4,00
578;1,00;3,30;0,60;0,69;9,50;0,110;5,00
579;1,00;3,29;0,60;0,24;9,80;0,102;5,00
580;1,00;3,14;0,51;0,30;9,80;0,108;6,00
581;1,00;3,19;0,44;0,46;9,60;0,113;5,00
582;1,00;3,19;0,44;0,94;9,60;0,110;5,00
583;1,00;3,19;0,43;0,64;9,20;0,110;5,00
584;1,00;2,98;0,66;0,10;9,90;0,106;7,00
585;1,00;3,30;0,76;0,23;10,70;0,094;7,00
586;1,00;3,47;0,66;0,35;9,60;0,112;6,00
587;1,00;3,12;1,02;0,34;10,60;0,097;7,00
588;1,00;3,26;0,59;0,77;9,30;0,117;5,00
589;0,99;3,72;0,74;0,32;14,00;0,074;8,00
590;1,00;3,05;0,74;0,44;10,50;0,104;7,00
591;1,00;3,35;0,57;0,68;9,70;0,112;5,00
592;0,99;3,12;0,50;0,39;11,50;0,095;6,00
593;1,00;3,35;0,57;0,30;9,70;0,107;5,00
594;1,00;3,29;0,58;0,62;9,00;0,119;5,00
595;1,00;3,40;0,53;0,31;9,50;0,112;5,00
596;1,00;3,27;0,57;0,58;9,30;0,114;5,00
597;1,00;3,04;0,60;0,08;9,30;0,109;6,00
598;1,00;3,09;0,63;0,04;10,00;0,106;6,00
599;1,00;3,20;0,48;0,87;9,80;0,111;6,00
600;1,00;3,00;0,70;0,29;9,30;0,117;6,00
601;1,00;3,26;0,47;0,19;10,00;0,105;4,00
602;1,00;3,10;0,56;0,01;9,00;0,117;6,00
603;1,00;3,30;0,52;0,58;9,30;0,114;5,00
604;1,00;3,10;0,56;0,30;9,00;0,117;6,00
605;1,00;3,17;0,62;0,35;9,10;0,114;6,00
606;1,00;3,31;0,59;0,30;9,20;0,117;6,00
607;1,00;;0,79;0,80;12,20;0,088;7,00
608;1,00;;0,53;0,56;10,50;0,096;6,00
609;1,00;;0,64;0,21;10,40;0,105;6,00
610;1,00;3,56;0,52;0,29;12,70;0,085;6,00
611;1,00;3,39;0,54;0,48;9,20;0,112;5,00
612;1,00;2,98;0,54;0,85;9,40;0,113;5,00
613;1,00;3,32;0,60;0,60;10,00;0,102;6,00
614;1,00;3,26;0,74;0,73;9,80;0,105;5,00
615;1,00;2,87;1,36;0,31;10,20;0,104;6,00
616;1,00;3,50;0,57;0,58;9,70;0,111;5,00
617;1,00;3,50;0,57;0,71;9,70;0,110;5,00
618;1,00;3,03;0,93;0,51;9,80;0,108;6,00
619;1,00;3,13;0,70;0,14;10,20;0,099;5,00
620;1,00;3,09;0,80;0,52;9,30;0,114;5,00
621;1,00;3,27;0,61;0,41;9,40;0,116;5,00
622;1,00;3,28;0,62;0,64;9,40;0,107;5,00
623;1,00;3,13;0,55;0,81;9,50;0,106;5,00
624;1,00;3,49;0,96;0,96;12,10;0,090;6,00
625;1,00;3,46;0,72;0,48;10,20;0,105;5,00
626;1,00;3,46;0,72;0,99;10,20;0,098;5,00
627;1,00;3,36;0,49;0,21;9,10;0,117;5,00
628;1,00;3,36;0,49;0,88;9,10;0,111;5,00
629;1,00;3,27;0,60;0,77;9,30;0,115;6,00
630;1,00;3,21;0,61;0,42;9,30;0,109;5,00
631;1,00;3,27;0,60;0,76;9,30;0,111;6,00
632;1,00;3,25;0,63;0,67;9,50;0,111;5,00
633;1,00;3,32;0,57;0,00;10,50;0,099;6,00
634;1,00;3,43;0,64;0,53;11,30;0,091;4,00
635;1,00;3,27;0,58;0,07;9,50;0,109;5,00
636;1,00;3,27;0,55;0,04;9,70;0,109;5,00
637;1,00;3,24;0,53;0,06;9,40;0,113;5,00
638;1,00;3,24;0,53;0,49;9,40;0,115;5,00
639;1,00;3,35;0,65;0,45;10,20;0,101;7,00
640;1,00;3,18;1,36;0,41;10,30;0,103;6,00
641;1,00;3,39;0,62;0,12;9,40;0,116;5,00
642;1,00;3,46;0,63;0,61;9,50;0,107;5,00
643;1,00;3,39;0,62;0,56;9,40;0,111;5,00
644;1,00;3,46;0,63;0,70;9,50;0,113;5,00
645;1,00;3,39;0,62;0,42;9,40;0,116;5,00
646;1,00;3,37;0,69;0,66;10,10;0,100;7,00
647;1,00;3,40;0,63;0,04;10,10;0,103;5,00
648;1,00;3,32;0,58;0,85;11,00;0,094;4,00
649;1,00;3,33;0,67;0,86;11,20;0,090;7,00
650;0,99;3,16;0,57;0,82;11,30;0,089;6,00
651;1,00;2,89;0,50;0,86;9,60;0,109;5,00
652;1,00;3,41;0,67;0,47;11,20;0,091;5,00
653;1,00;2,98;0,84;0,60;14,90;0,071;5,00
654;1,00;3,12;0,54;0,63;12,00;0,092;6,00
655;1,00;3,08;0,46;0,03;9,50;0,115;5,00
656;1,00;3,14;0,61;0,11;9,40;0,110;5,00
657;1,00;2,89;0,50;0,60;9,60;0,111;5,00
658;1,00;2,92;0,68;0,53;10,50;0,096;7,00
659;1,00;3,32;0,81;0,27;9,60;0,105;6,00
660;1,00;3,41;0,57;0,02;11,00;0,095;4,00
661;1,00;3,32;0,81;0,32;9,60;0,108;6,00
662;1,00;3,31;0,64;0,99;9,00;0,113;5,00
663;1,00;3,36;0,70;0,60;9,60;0,106;6,00
664;1,00;3,04;0,79;0,07;10,20;0,099;6,00
665;1,00;3,03;0,66;0,84;10,20;0,101;5,00
666;1,00;3,14;0,56;0,58;9,70;0,111;5,00
667;1,00;3,18;0,60;0,71;9,50;0,114;6,00
668;1,00;2,94;0,66;0,93;9,20;0,115;6,00
669;1,00;3,15;0,57;0,30;11,00;0,095;5,00
670;1,00;2,94;0,66;0,26;9,20;0,117;6,00
671;1,00;3,26;0,58;0,04;10,00;0,103;5,00
672;1,00;3,20;0,52;0,70;9,50;0,109;5,00
673;1,00;3,15;0,53;0,27;9,50;0,112;5,00
674;1,00;3,20;0,52;0,80;9,50;0,107;5,00
675;1,00;3,08;0,67;0,12;9,30;0,112;6,00
676;1,00;3,26;0,65;0,15;10,20;0,105;5,00
677;1,00;3,08;0,67;0,19;9,30;0,109;6,00
678;1,00;3,40;0,48;0,03;9,90;0,110;5,00
679;1,00;3,48;0,53;0,35;10,00;0,102;5,00
680;1,00;3,13;0,54;0,22;9,60;0,112;5,00
681;1,00;3,06;0,49;0,50;9,00;0,118;5,00
682;1,00;3,21;0,49;0,52;10,20;0,105;6,00
683;1,00;3,33;0,54;0,94;9,80;0,109;5,00
684;1,00;3,37;0,56;0,74;11,30;0,096;5,00
685;1,00;3,25;0,48;0,02;9,40;0,115;5,00
686;1,00;3,37;0,56;0,07;11,30;0,095;5,00
687;1,00;3,44;0,60;0,64;9,10;0,116;5,00
688;1,00;3,28;0,59;0,42;9,70;0,110;5,00
689;1,00;3,40;0,47;0,75;9,40;0,114;5,00
690;1,00;3,30;1,05;0,75;9,40;0,109;5,00
691;1,00;3,63;0,54;0,37;10,70;0,094;3,00
692;1,00;3,48;0,54;0,54;9,80;0,104;5,00
693;1,00;3,03;1,17;0,08;9,00;0,112;5,00
694;1,00;3,32;0,62;0,95;9,40;0,116;5,00
695;1,00;3,31;0,61;0,41;9,40;0,110;5,00
696;0,99;3,90;0,62;0,53;12,80;0,082;6,00
697;1,00;3,47;0,67;0,05;9,50;0,108;6,00
698;1,00;3,47;0,67;0,81;9,50;0,111;6,00
699;1,00;3,31;0,53;0,96;9,70;0,104;5,00
700;1,00;3,11;0,62;0,55;10,80;0,098;6,00
701;1,00;3,08;0,57;0,40;10,10;0,106;6,00
702;1,00;3,47;0,67;0,30;9,50;0,112;6,00
703;1,00;3,47;0,67;0,44;9,40;0,112;6,00
704;1,00;3,32;0,70;0,31;9,60;0,105;4,00
705;1,00;3,29;0,54;0,64;9,70;0,112;4,00
706;1,00;3,37;0,49;0,10;9,90;0,108;5,00
707;1,00;3,40;0,47;0,28;10,00;0,106;5,00
708;1,00;3,37;0,51;0,55;10,50;0,099;5,00
709;1,00;3,34;0,61;0,20;11,60;0,095;6,00
710;1,00;3,27;0,66;0,14;10,00;0,108;6,00
711;1,00;3,06;0,57;0,26;10,10;0,102;5,00
712;1,00;3,38;0,61;0,74;9,50;0,114;5,00
713;1,00;3,36;0,45;0,12;9,40;0,114;5,00
714;1,00;3,34;0,46;0,72;9,40;0,114;5,00
715;1,00;3,28;0,51;0,99;9,80;0,109;5,00
716;1,00;3,29;0,48;0,57;9,20;0,110;6,00
717;1,00;3,34;0,46;0,37;9,40;0,113;5,00
718;1,00;3,21;0,57;0,86;10,00;0,103;5,00
719;1,00;3,22;0,44;0,53;9,60;0,107;5,00
720;1,00;3,46;0,54;0,42;9,50;0,109;5,00
721;1,00;3,22;0,44;0,46;9,60;0,111;5,00
722;1,00;3,10;0,53;0,95;9,20;0,112;5,00
723;1,00;3,21;0,59;0,91;10,00;0,102;5,00
724;1,00;2,94;1,62;0,63;9,50;0,112;5,00
725;1,00;3,54;0,60;0,39;11,20;0,090;4,00
726;1,00;3,29;0,55;0,34;10,40;0,098;5,00
727;1,00;3,43;0,72;0,95;11,10;0,100;6,00
728;1,00;3,46;0,68;0,86;9,50;0,115;5,00
729;1,00;3,46;0,68;0,05;9,50;0,108;5,00
730;1,00;3,61;0,49;0,67;12,70;0,083;6,00
731;1,00;3,17;0,67;0,19;9,60;0,107;5,00
732;1,00;3,44;0,52;0,76;11,50;0,094;5,00
733;1,00;3,39;0,47;0,87;9,60;0,107;5,00
734;1,00;3,55;0,60;0,90;9,50;0,114;5,00
735;1,00;3,48;0,62;0,32;9,30;0,117;5,00
736;1,00;3,26;0,50;0,73;9,50;0,106;5,00
737;1,00;3,26;0,50;0,30;9,50;0,114;5,00
738;1,00;3,50;0,65;0,30;9,30;0,110;6,00
739;1,00;3,10;0,56;0,01;9,20;0,115;5,00
740;1,00;3,35;0,60;0,50;9,30;0,115;5,00
741;1,00;3,45;0,68;0,33;11,50;0,088;6,00
742;1,00;3,21;0,57;0,02;9,50;0,107;5,00
743;1,00;3,46;0,65;0,28;9,20;0,110;5,00
744;1,00;3,13;0,53;0,49;10,00;0,100;5,00
745;1,00;3,13;0,51;0,70;9,50;0,113;5,00
746;1,00;3,52;0,73;0,80;9,50;0,108;6,00
747;1,00;3,30;0,47;0,24;9,00;0,120;6,00
748;1,00;3,30;0,48;0,47;9,40;0,109;5,00
749;1,00;3,52;0,72;0,63;9,60;0,106;6,00
750;1,00;3,52;0,73;0,44;9,50;0,106;6,00
751;1,00;3,29;0,55;0,63;9,50;0,115;5,00
752;1,00;3,29;0,55;0,96;9,50;0,111;5,00
753;1,00;3,39;0,61;0,22;9,40;0,107;5,00
754;1,00;3,29;0,55;0,88;9,50;0,109;5,00
755;1,00;3,09;1,06;0,30;9,10;0,115;6,00
756;1,00;3,51;0,43;0,08;10,70;0,096;6,00
757;0,99;3,60;0,46;0,21;11,20;0,096;6,00
758;1,00;3,25;0,50;0,14;9,80;0,110;5,00
759;1,00;3,25;0,50;0,07;9,80;0,111;5,00
760;1,00;3,19;0,52;0,29;9,20;0,112;5,00
761;1,00;3,23;0,57;0,61;9,70;0,108;5,00
762;1,00;3,25;0,42;0,46;9,60;0,110;5,00
763;1,00;3,31;0,53;0,01;10,00;0,104;6,00
764;1,00;3,25;0,42;0,08;9,60;0,112;5,00
765;1,00;3,31;0,55;0,14;9,50;0,114;6,00
766;1,00;3,31;0,54;0,29;9,50;0,109;6,00
767;1,00;3,14;0,54;0,13;9,40;0,107;5,00
768;1,00;3,45;0,62;0,01;9,50;0,109;5,00
769;1,00;3,55;0,53;0,33;9,70;0,106;6,00
770;1,00;3,39;0,54;0,18;9,60;0,105;5,00
771;1,00;3,55;0,53;0,73;9,70;0,104;6,00
772;1,00;3,28;0,55;0,45;9,40;0,109;5,00
773;1,00;3,27;0,55;0,13;9,40;0,116;5,00
774;1,00;3,30;0,92;0,14;9,50;0,110;6,00
775;1,00;3,31;0,91;0,11;9,50;0,111;6,00
776;1,00;3,43;0,46;0,94;10,00;0,110;5,00
777;1,00;3,40;0,60;0,33;10,30;0,106;6,00
778;1,00;3,40;0,59;0,58;10,30;0,101;6,00
779;1,00;3,36;0,61;0,56;10,50;0,097;5,00
780;1,00;3,50;0,60;0,21;9,80;0,103;5,00
781;1,00;3,31;0,60;0,57;9,40;0,112;6,00
782;1,00;3,66;0,65;0,25;9,80;0,103;5,00
783;1,00;3,36;0,53;0,57;10,00;0,108;5,00
784;1,00;3,66;0,65;0,31;9,80;0,108;5,00
785;1,00;3,55;0,59;0,19;9,80;0,109;5,00
786;1,00;3,21;0,50;0,33;9,50;0,114;5,00
787;1,00;11,30;0,50;0,45;9,50;0,110;5,00
788;1,00;3,18;0,56;0,26;10,10;0,104;6,00
789;1,00;3,18;0,56;0,80;10,10;0,101;6,00
790;1,00;3,09;0,52;0,35;9,30;0,112;5,00
791;1,00;3,33;0,68;0,15;9,70;0,109;6,00
792;1,00;3,23;0,54;0,01;9,60;0,108;5,00
793;1,00;3,48;0,60;0,36;9,70;0,108;6,00
794;1,00;3,38;0,56;0,71;10,80;0,096;5,00
795;1,00;3,17;0,53;0,98;12,50;0,088;6,00
796;1,00;2,99;1,18;0,78;10,20;0,108;5,00
797;1,00;3,10;0,74;0,85;9,60;0,110;5,00
798;1,00;3,24;0,81;0,09;10,80;0,100;7,00
799;1,00;3,29;0,52;0,87;10,70;0,094;6,00
800;1,00;3,29;0,52;0,46;10,70;0,095;6,00
801;1,00;3,25;0,51;0,74;9,40;0,112;5,00
802;1,00;3,23;0,44;0,81;10,00;0,101;5,00
803;0,99;3,56;0,94;0,92;12,90;0,083;7,00
804;1,00;3,24;0,66;0,36;9,60;0,105;6,00
805;1,00;3,26;0,57;0,20;9,90;0,103;6,00
806;0,99;3,33;0,70;0,59;12,80;0,082;7,00
807;0,99;3,27;0,71;0,38;12,50;0,085;7,00
808;0,99;3,33;0,70;0,30;12,80;0,087;7,00
809;1,00;6,20;0,86;0,74;9,20;0,109;5,00
