ID;fixed acidity;volatile acidity;citric acid
1;7;0,27;0,36
2;6,3;0,3;0,34
3;8,1;0,28;0,4
4;7,2;0,23;0,32
5;7,2;0,23;0,32
6;8,1;0,28;0,4
7;6,2;0,32;0,16
8;7;0,27;0,36
9;6,3;0,3;0,34
10;8,1;0,22;0,43
11;8,1;0,27;0,41
12;8,6;0,23;0,4
13;7,9;0,18;0,37
14;6,6;0,16;0,4
15;8,3;0,42;0,62
16;6,6;0,17;0,38
17;6,3;0,48;0,04
18;6,2;0,66;0,48
19;7,4;0,34;0,42
20;6,5;0,31;0,14
21;6,2;0,66;0,48
22;6,4;0,31;0,38
23;6,8;0,26;0,42
24;7,6;0,67;0,14
25;6,6;0,27;0,41
26;7;0,25;0,32
27;6,9;0,24;0,35
28;7;0,28;0,39
29;7,4;0,27;0,48
30;7,2;0,32;0,36
31;8,5;0,24;0,39
32;8,3;0,14;0,34
33;7,4;0,25;0,36
34;6,2;0,12;0,34
35;5,8;0,27;0,2
36;7,3;0,28;0,43
37;6,5;0,39;0,23
38;7;0,33;0,32
39;7,3;0,24;0,39
40;7,3;0,24;0,39
41;6,7;0,23;0,39
42;6,7;0,24;0,39
43;7;0,31;0,26
44;6,6;0,24;0,27
45;6,7;0,23;0,26
46;7,4;0,18;0,31
47;6,2;0,45;0,26
48;6,2;0,46;0,25
49;7;0,31;0,26
50;6,9;0,19;0,35
51;7,2;0,19;0,31
52;6,6;0,25;0,29
53;6,2;0,16;0,33
54;6,4;0,18;0,35
55;6,8;0,2;0,59
56;6,9;0,25;0,35
57;7,2;0,21;0,34
58;6;0,19;0,26
59;6,6;0,38;0,15
60;7,4;0,2;0,36
61;6,8;0,22;0,24
62;6;0,19;0,26
63;7;0,47;0,07
64;6,6;0,38;0,15
65;7,2;0,24;0,27
66;6,2;0,35;0,03
67;6,4;0,26;0,24
68;6,7;0,25;0,13
69;6,7;0,23;0,31
70;7,4;0,24;0,29
71;6,2;0,27;0,43
72;6,8;0,3;0,23
73;6;0,27;0,28
74;8,6;0,23;0,46
75;6,7;0,23;0,31
76;7,4;0,24;0,29
77;7,1;0,18;0,36
78;7;0,32;0,34
79;7,4;0,18;0,3
80;6,7;0,54;0,28
81;6,8;0,22;0,31
82;7,1;0,2;0,34
83;7,1;0,34;0,2
84;7,3;0,22;0,3
85;7,1;0,43;0,61
86;7,1;0,44;0,62
87;7,2;0,39;0,63
88;6,8;0,25;0,31
89;7,1;0,43;0,61
90;7,1;0,44;0,62
91;7,2;0,39;0,63
92;6,1;0,27;0,43
93;6,9;0,24;0,33
94;6,9;0,21;0,33
95;7,5;0,17;0,32
96;7,1;0,26;0,29
97;6;0,34;0,66
98;8,6;0,265;0,36
99;9,8;0,36;0,46
100;6;0,34;0,66
101;7,4;0,25;0,37
102;7,1;0,12;0,32
103;6;0,21;0,24
104;7,5;0,305;0,4
105;7,4;0,25;0,37
106;7,3;0,13;0,32
107;7,1;0,12;0,32
108;7,1;0,23;0,35
109;7,1;0,23;0,35
110;6,9;0,33;0,28
111;6,5;0,17;0,54
112;7,2;0,27;0,46
113;7,2;0,31;0,5
114;6,7;0,41;0,34
115;6,7;0,41;0,34
116;5,5;0,485;0
117;6;0,31;0,24
118;7;0,14;0,4
119;7,2;0,31;0,5
120;7,3;0,32;0,48
121;5,9;0,36;0,04
122;7,8;0,24;0,32
123;7,4;0,16;0,31
124;6,9;0,19;0,28
125;6,4;0,13;0,47
126;6,7;0,19;0,36
127;7,4;0,39;0,23
128;6,5;0,24;0,32
129;6,1;0,3;0,56
130;6,1;0,3;0,56
131;5,7;0,26;0,25
132;6,5;0,24;0,32
133;6,5;0,425;0,4
134;6,6;0,24;0,27
135;6,8;0,27;0,22
136;6,7;0,27;0,31
137;8,2;0,23;0,4
138;7,1;0,37;0,67
139;6,8;0,19;0,36
140;8,1;0,28;0,39
141;6,3;0,31;0,34
142;7,1;0,37;0,67
143;7,9;0,21;0,4
144;8,5;0,21;0,41
145;8,1;0,2;0,4
146;6,3;0,255;0,37
147;5,6;0,16;0,27
148;6,4;0,595;0,14
149;6,3;0,34;0,33
150;6,9;0,25;0,3
151;7,9;0,22;0,38
152;7,6;0,18;0,46
153;6,9;0,25;0,3
154;7,2;0,18;0,41
155;8,2;0,23;0,4
156;7,4;0,24;0,42
157;7,4;0,24;0,42
158;6,1;0,32;0,24
159;5,2;0,44;0,04
160;5,2;0,44;0,04
161;6,1;0,32;0,24
162;6,4;0,22;0,56
163;6,3;0,36;0,3
164;7,4;0,24;0,42
165;6,7;0,24;0,35
166;7;0,23;0,36
167;8,4;0,27;0,46
168;6,7;0,46;0,18
169;7,5;0,29;0,31
170;9,8;0,42;0,48
171;7,1;0,3;0,46
172;7,9;0,19;0,45
173;7,6;0,48;0,37
174;6,3;0,22;0,43
175;7,5;0,27;0,31
176;6,9;0,23;0,4
177;7,2;0,32;0,47
178;5,9;0,23;0,3
179;6;0,67;0,07
180;6,4;0,25;0,32
181;6,4;0,33;0,31
182;7,1;0,34;0,15
183;6,8;0,28;0,4
184;6,9;0,27;0,4
185;6,8;0,26;0,56
186;6,8;0,29;0,56
187;6,7;0,24;0,41
188;5,9;0,3;0,23
189;6,8;0,53;0,35
190;6,5;0,28;0,28
191;6,6;0,28;0,28
192;6,8;0,28;0,4
193;6,8;0,28;0,36
194;6,6;0,15;0,34
195;6,4;0,29;0,44
196;6,4;0,3;0,45
197;6,4;0,29;0,44
198;6,8;0,26;0,24
199;7,1;0,32;0,24
200;6,8;0,26;0,24
201;6,8;0,27;0,26
202;7,1;0,32;0,24
203;6,9;0,54;0,32
204;6,8;0,26;0,34
205;5,8;0,28;0,35
206;6,4;0,21;0,5
207;7;0,16;0,32
208;10,2;0,44;0,88
209;6,8;0,57;0,29
210;6,1;0,4;0,31
211;5,6;0,245;0,25
212;6,8;0,18;0,38
213;7;0,16;0,32
214;6,7;0,13;0,29
215;6,2;0,25;0,25
216;5,8;0,26;0,24
217;7,5;0,27;0,36
218;5,8;0,26;0,24
219;5,7;0,28;0,24
220;7,5;0,23;0,36
221;7,5;0,27;0,36
222;7,2;0,685;0,21
223;6,2;0,25;0,25
224;6,5;0,19;0,3
225;6,3;0,495;0,22
226;7,1;0,24;0,41
227;6,4;0,17;0,32
228;7,1;0,25;0,32
229;6,4;0,17;0,32
230;7,1;0,24;0,41
231;6,8;0,64;0,08
232;8,3;0,28;0,4
233;8,2;0,27;0,39
234;7,2;0,23;0,38
235;7,2;0,23;0,38
236;7,2;0,23;0,38
237;7,2;0,23;0,38
238;6,8;0,52;0,32
239;7;0,26;0,59
240;6,2;0,25;0,21
241;7,3;0,32;0,23
242;7,7;0,31;0,26
243;7,1;0,21;0,37
244;6,8;0,24;0,34
245;6,9;0,4;0,56
246;6,1;0,18;0,36
247;6,8;0,21;0,27
248;5,8;0,2;0,27
249;5,6;0,19;0,26
250;6,1;0,41;0,14
251;5,9;0,21;0,28
252;8,5;0,26;0,21
253;6,9;0,4;0,56
254;5,8;0,24;0,44
255;5,8;0,24;0,39
256;6,7;0,26;0,39
257;6,3;0,35;0,3
258;6,3;0,35;0,3
259;6,4;0,23;0,39
260;5,8;0,36;0,38
261;6,9;0,115;0,35
262;6,9;0,29;0,4
263;6,9;0,28;0,4
264;7,2;0,29;0,4
265;6,2;0,24;0,35
266;6,9;0,29;0,4
267;6,9;0,32;0,26
268;5,3;0,58;0,07
269;5,3;0,585;0,07
270;5,4;0,59;0,07
271;6,9;0,32;0,26
272;5,2;0,6;0,07
273;5,8;0,25;0,26
274;6,6;0,58;0,3
275;7;0,29;0,54
276;6,6;0,19;0,41
277;6,7;0,2;0,41
278;7,7;0,26;0,4
279;6,8;0,32;0,34
280;7;0,3;0,49
281;7;0,24;0,36
282;6,1;0,31;0,58
283;6,8;0,44;0,37
284;6,7;0,34;0,3
285;7,1;0,35;0,24
286;7,3;0,32;0,25
287;6,5;0,28;0,33
288;7,2;0,23;0,39
289;7,2;0,23;0,39
290;7,2;0,23;0,39
291;7,2;0,23;0,39
292;5,9;0,15;0,31
293;7,4;0,28;0,42
294;6,2;0,28;0,22
295;9,1;0,59;0,38
296;6,3;0,33;0,27
297;8,3;0,39;0,7
298;7,2;0,19;0,46
299;7,5;0,17;0,44
300;6,7;0,17;0,5
301;6,1;0,41;0
302;8,3;0,2;0,35
303;6,1;0,41;0
304;6;0,29;0,21
305;7,3;0,41;0,24
306;7,3;0,41;0,24
307;7,2;0,43;0,24
308;7,3;0,4;0,24
309;6,2;0,33;0,27
310;6,2;0,31;0,26
311;6,1;0,36;0,27
312;5;0,55;0,14
313;7,8;0,25;0,41
314;5,7;0,36;0,21
315;5,8;0,34;0,21
316;6,8;0,28;0,6
317;6,8;0,25;0,34
318;6,6;0,24;0,35
319;5,9;0,3;0,47
320;6,1;0,125;0,25
321;6;0,1;0,24
322;6,6;0,24;0,35
323;6,8;0,25;0,34
324;6,8;0,28;0,44
325;8,3;0,41;0,51
326;7,5;0,27;0,31
327;7,9;0,26;0,41
328;6,4;0,34;0,23
329;6,5;0,28;0,35
330;7,2;0,21;0,41
331;6,4;0,32;0,35
332;6,8;0,24;0,34
333;6,3;0,23;0,3
334;6,5;0,28;0,34
335;5,6;0,26;0,26
336;6,3;0,23;0,3
337;6,3;0,23;0,33
338;5,8;0,27;0,27
339;5,9;0,26;0,4
340;6,6;0,18;0,35
341;7,4;0,2;0,43
342;8;0,24;0,36
343;6,4;0,26;0,42
344;5,4;0,31;0,47
345;5,4;0,29;0,47
346;7,1;0,145;0,33
347;5,6;0,34;0,1
348;6,7;0,19;0,41
349;7,8;0,18;0,46
350;7,6;0,17;0,45
351;6,3;0,12;0,36
352;7,3;0,33;0,4
353;5,5;0,335;0,3
354;7,3;0,33;0,4
355;5,8;0,4;0,42
356;7,3;0,22;0,37
357;7,3;0,22;0,37
358;6,1;0,36;0,33
359;10;0,2;0,39
360;6,9;0,24;0,34
361;6,4;0,24;0,32
362;7,1;0,365;0,14
363;6,8;0,15;0,3
364;7,3;0,22;0,37
365;6,8;0,16;0,4
366;6;0,26;0,32
367;6;0,18;0,27
368;6,9;0,33;0,21
369;7,7;0,29;0,48
370;7,1;0,39;0,35
371;6,9;0,33;0,21
372;7,7;0,29;0,48
373;6,6;0,905;0,19
374;7,2;0,27;0,27
375;5,1;0,33;0,22
376;5,1;0,33;0,22
377;6,4;0,31;0,28
378;7,3;0,2;0,44
379;5,7;0,32;0,5
380;6,4;0,31;0,28
381;7,3;0,2;0,44
382;7,2;0,28;0,26
383;7,5;0,35;0,28
384;7,2;0,27;0,27
385;6;0,36;0,39
386;5,1;0,33;0,22
387;5;0,17;0,56
388;6,3;0,39;0,35
389;6,7;0,21;0,32
390;7;0,3;0,38
391;7;0,3;0,38
392;6,5;0,36;0,32
393;6,1;0,55;0,15
394;7,3;0,24;0,43
395;6,8;0,37;0,51
396;6,8;0,27;0,12
397;8,2;0,28;0,42
398;6,3;0,2;0,4
399;5,9;0,26;0,27
400;6,4;0,19;0,42
401;6,3;0,2;0,4
402;6,8;0,37;0,51
403;6,1;0,35;0,07
404;7,1;0,27;0,31
405;6,8;0,22;0,31
406;6,8;0,27;0,12
407;5,8;0,28;0,34
408;6,9;0,49;0,24
409;6,3;0,14;0,39
410;8,2;0,28;0,42
411;7,2;0,25;0,39
412;7,3;0,28;0,36
413;7,2;0,19;0,39
414;7,2;0,19;0,39
415;7,2;0,25;0,39
416;7,3;0,28;0,36
417;7,4;0,21;0,27
418;6,8;0,26;0,22
419;7,4;0,21;0,27
420;7,4;0,31;0,28
421;7;0,22;0,31
422;7;0,21;0,28
423;7;0,21;0,28
424;7;0,21;0,28
425;6,9;0,23;0,38
426;7;0,21;0,28
427;7;0,21;0,28
428;6,8;0,29;0,5
429;7,8;0,21;0,27
430;7,1;0,31;0,47
431;6,8;0,29;0,5
432;6,4;0,34;0,1
433;7,4;0,155;0,34
434;7,2;0,55;0,09
435;7;0,23;0,36
436;6,9;0,2;0,37
437;6,1;0,28;0,32
438;6,6;0,16;0,32
439;7,4;0,155;0,34
440;6,2;0,35;0,04
441;6,7;0,22;0,37
442;6,1;0,38;0,2
443;6;0,25;0,28
444;6,6;0,52;0,44
445;6,9;0,24;0,36
446;7,1;0,32;0,32
447;5,8;0,28;0,27
448;6,5;0,41;0,24
449;6,5;0,41;0,24
450;6,4;0,28;0,29
451;7,2;0,6;0,2
452;6,1;0,2;0,25
453;5,9;0,46;0,14
454;6;0,27;0,27
455;6,4;0,28;0,29
456;6,4;0,41;0,24
457;6,3;0,23;0,31
458;7,1;0,21;0,27
459;6;0,37;0,32
460;6,1;0,43;0,35
461;7,1;0,21;0,27
462;7;0,25;0,29
463;5,9;0,25;0,19
464;6,8;0,32;0,21
465;7,2;0,39;0,62
466;6,3;0,21;0,58
467;7;0,14;0,32
468;6,8;0,32;0,21
469;7,2;0,39;0,62
470;7,2;0,29;0,53
471;8,6;0,37;0,7
472;6,5;0,38;0,34
473;6,6;0,24;0,29
474;7;0,17;0,31
475;5,5;0,16;0,22
476;7;0,24;0,51
477;7,4;0,28;0,36
478;7;0,22;0,28
479;7,1;0,55;0,13
480;6,3;0,22;0,33
481;6,7;0,47;0,34
482;5,9;0,36;0,41
483;5,8;0,25;0,24
484;6,7;0,47;0,34
485;6,2;0,37;0,3
486;6,2;0,18;0,38
487;6;0,16;0,37
488;6,6;0,34;0,28
489;7,4;0,29;0,29
490;7,4;0,26;0,31
491;7;0,28;0,36
492;7,1;0,23;0,39
493;7,8;0,19;0,26
494;6,3;0,19;0,28
495;6,8;0,2;0,38
496;5,7;0,44;0,13
497;7,2;0,4;0,62
498;6,8;0,23;0,32
499;5,7;0,335;0,34
500;7,2;0,4;0,62
501;7,2;0,28;0,54
502;6,8;0,19;0,58
503;6,4;0,3;0,3
504;6,5;0,3;0,29
505;7,8;0,18;0,31
506;7,8;0,18;0,31
507;7,3;0,51;0,26
508;6;0,24;0,27
509;5,9;0,62;0,28
510;6;0,24;0,27
511;6,7;0,27;0,12
512;7,8;0,34;0,35
513;7,3;0,26;0,36
514;7,4;0,36;0,33
515;7,8;0,28;0,32
516;6,1;0,31;0,26
517;6,8;0,18;0,37
518;7,4;0,15;0,42
519;5,9;0,13;0,28
520;7,2;0,34;0,34
521;7,9;0,19;0,26
522;7,9;0,19;0,26
523;6,9;0,25;0,4
524;5,8;0,36;0,32
525;5,6;0,35;0,37
526;5,9;0,32;0,39
527;7,2;0,31;0,46
528;6,1;0,28;0,22
529;5,2;0,36;0,02
530;5,6;0,19;0,47
531;6,4;0,1;0,35
532;6,4;0,18;0,48
533;7,4;0,25;0,36
534;7,4;0,25;0,36
535;7,4;0,25;0,36
536;7,9;0,345;0,51
537;7,9;0,345;0,51
538;7,4;0,25;0,36
539;6,1;0,24;0,3
540;6,8;0,25;0,24
541;6,7;0,31;0,31
542;7,2;0,46;0,65
543;5,5;0,35;0,35
544;6,7;0,24;0,41
545;6,8;0,28;0,17
546;6,4;0,16;0,22
547;6,3;0,26;0,24
548;7,7;0,22;0,42
549;6,5;0,18;0,31
550;7,2;0,46;0,65
551;7;0,3;0,51
552;9,2;0,25;0,34
553;7,8;0,28;0,34
554;7;0,3;0,51
555;7,8;0,28;0,34
556;9,2;0,25;0,34
557;8,4;0,35;0,71
558;6,1;0,41;0,24
559;5,9;0,21;0,24
560;7,2;0,34;0,44
561;6,7;0,21;0,42
562;5,9;0,37;0,1
563;7,7;0,34;0,27
564;7,4;0,3;0,22
565;6,8;0,51;0,3
566;7,8;0,22;0,38
567;7,2;0,35;0,34
568;6;0,26;0,5
569;6,1;0,26;0,51
570;6,5;0,28;0,27
571;7,4;0,41;0,66
572;6,5;0,28;0,29
573;6,7;0,34;0,54
574;7,2;0,2;0,34
575;7,4;0,2;0,33
576;8,2;0,22;0,3
577;8,2;0,23;0,29
578;7,1;0,22;0,33
579;6,5;0,28;0,29
580;6;0,38;0,26
581;7,4;0,41;0,66
582;5,7;0,18;0,22
583;7,3;0,3;0,22
584;7,4;0,24;0,22
585;6,6;0,25;0,3
586;7,4;0,24;0,22
587;7,4;0,26;0,3
588;6,1;0,32;0,25
589;6,9;0,28;0,27
590;7;0,23;0,33
591;7,1;0,31;0,5
592;7,3;0,2;0,37
593;6,9;0,41;0,33
594;6,4;0,45;0,07
595;6,4;0,475;0,06
596;6,3;0,27;0,38
597;6,9;0,41;0,33
598;7;0,29;0,37
599;5,9;0,27;0,29
600;6,9;0,19;0,4
601;6,7;0,3;0,35
602;7,2;0,24;0,4
603;6,4;0,45;0,07
604;6,4;0,475;0,06
605;6,3;0,26;0,49
606;6,3;0,26;0,49
607;7,3;0,25;0,29
608;7,3;0,25;0,29
609;6,1;0,28;0,25
610;7,4;0,37;0,35
611;6,5;0,36;0,28
612;7,4;0,24;0,4
613;7,5;0,23;0,68
614;7,5;0,21;0,68
615;7,5;0,21;0,68
616;7,5;0,23;0,68
617;7,8;0,32;0,33
618;7,8;0,26;0,27
619;7,7;0,24;0,27
620;7,4;0,19;0,3
621;6,5;0,46;0,41
622;6,5;0,26;0,43
623;5,3;0,32;0,12
624;7,2;0,24;0,34
625;6;0,36;0,06
626;6,2;0,24;0,29
627;7,6;0,56;0,12
628;7;0,32;0,24
629;7;0,32;0,24
630;5,8;0,31;0,33
631;7;0,23;0,42
632;7;0,23;0,42
633;6,9;0,24;0,33
634;6;0,29;0,2
635;6,1;0,17;0,28
636;5,9;0,14;0,25
637;6,2;0,17;0,28
638;7,4;0,28;0,25
639;5,6;0,35;0,14
640;5,8;0,335;0,14
641;5,6;0,235;0,29
642;6,1;0,28;0,25
643;6,3;0,21;0,33
644;6,4;0,24;0,28
645;6,4;0,24;0,29
646;6,3;0,26;0,25
647;6,5;0,33;0,72
648;7,4;0,105;0,34
649;6;0,32;0,12
650;7,1;0,26;0,34
651;7,1;0,26;0,34
652;7,1;0,26;0,34
653;7,1;0,26;0,34
654;5,9;0,24;0,26
655;6,5;0,21;0,37
656;7,7;0,27;0,35
657;9;0,27;0,35
658;7,3;0,34;0,21
659;6,6;0,27;0,25
660;6,8;0,29;0,16
661;7,1;0,28;0,26
662;6,8;0,25;0,34
663;7;0,57;0,1
664;7,1;0,28;0,26
665;7,1;0,17;0,38
666;7,8;0,28;0,22
667;6,8;0,22;0,37
668;7,1;0,17;0,38
669;6,1;0,14;0,25
670;6,4;0,24;0,5
671;7,8;0,42;0,26
672;6,6;0,28;0,36
673;7,1;0,32;0,34
674;6,7;0,31;0,3
675;6,4;0,32;0,5
676;6,1;0,28;0,25
677;5,9;0,29;0,25
678;5,8;0,32;0,38
679;5,8;0,32;0,38
680;5,7;0,32;0,38
681;6,7;0,28;0,14
682;6,8;0,34;0,69
683;5,9;0,25;0,25
684;6,4;0,27;0,32
685;8,1;0,46;0,31
686;6,2;0,36;0,26
687;6,8;0,22;0,35
688;6,8;0,67;0,3
689;7,2;0,28;0,3
690;6,7;0,17;0,37
691;6,9;0,2;0,34
692;6,1;0,36;0,16
693;6;0,36;0,16
694;5,9;0,37;0,14
695;7,6;0,29;0,58
696;6,3;0,34;0,28
697;6,7;0,19;0,34
698;7,5;0,31;0,51
699;7,5;0,31;0,51
700;7,4;0,31;0,48
701;8,4;0,4;0,7
702;5,9;0,34;0,22
703;6,6;0,38;0,18
704;6,4;0,33;0,28
705;5,6;0,25;0,26
706;8,6;0,27;0,46
707;6,2;0,31;0,21
708;7,2;0,18;0,45
709;7,7;0,2;0,44
710;6,2;0,47;0,21
711;6,1;0,25;0,24
712;8,2;0,27;0,43
713;8,2;0,27;0,43
714;6,4;0,31;0,39
715;6;0,39;0,26
716;6,2;0,21;0,27
717;7,7;0,42;0,31
718;7;0,27;0,41
719;6,2;0,21;0,27
720;7,4;0,29;0,5
721;6,6;0,29;0,44
722;6;0,3;0,44
723;6,9;0,31;0,34
724;6,6;0,33;0,31
725;7,8;0,3;0,4
726;6,4;0,39;0,21
727;6,4;0,24;0,31
728;7;0,21;0,34
729;6,4;0,16;0,31
730;6;0,33;0,27
731;6,5;0,23;0,33
732;6,2;0,25;0,48
733;8,8;0,28;0,45
734;6,6;0,25;0,3
735;6,9;0,38;0,25
736;6,4;0,25;0,3
737;6,6;0,25;0,3
738;6,9;0,38;0,25
739;7,1;0,21;0,31
740;6,4;0,25;0,3
741;6,9;0,39;0,4
742;5,8;0,2;0,3
743;7;0,2;0,37
744;5,9;0,26;0,25
745;7,4;0,38;0,27
746;7,4;0,2;1,66
747;7;0,21;0,34
748;7,2;0,29;0,4
749;6,9;0,18;0,38
750;7,3;0,3;0,42
751;7,2;0,29;0,4
752;6,9;0,2;0,5
753;6,7;0,2;0,42
754;7;0,21;0,34
755;5,9;0,35;0,47
756;7,1;0,28;0,44
757;5,8;0,25;0,28
758;6,8;0,22;0,37
759;7,1;0,14;0,4
760;7,1;0,13;0,4
761;6,9;0,18;0,38
762;7;0,2;0,38
763;6,8;0,24;0,49
764;5;0,44;0,04
765;6,3;0,3;0,28
766;7,2;0,27;0,42
767;6,7;0,5;0,63
768;6,8;0,2;0,36
769;6,7;0,11;0,34
770;6,7;0,11;0,34
771;6,8;0,12;0,31
772;6,6;0,16;0,57
773;6,6;0,21;0,6
774;6,1;0,27;0,3
775;9,1;0,27;0,45
776;6,4;0,225;0,48
777;8,3;0,14;0,45
778;7,2;0,23;0,19
779;6,9;0,22;0,37
780;8,1;0,17;0,44
781;6;0,395;0
782;7,8;0,29;0,22
783;6,9;0,22;0,37
784;8,1;0,17;0,44
785;7,2;0,23;0,19
786;7,6;0,3;0,27
787;7,7;0,34;0,28
788;7,7;0,34;0,28
789;5,8;0,34;0,16
790;7,6;0,3;0,27
791;7,7;0,34;0,28
792;5,9;0,24;0,3
793;6,4;0,46;0,08
794;5,9;0,24;0,3
795;7,4;0,32;0,27
796;7,2;0,31;0,26
797;7,8;0,42;0,23
798;6,9;0,24;0,33
799;5,4;0,18;0,24
800;6;0,18;0,31
801;7,8;0,27;0,58
802;6;0,28;0,49
803;6,8;0,39;0,35
804;6,6;0,21;0,31
805;7,3;0,32;0,34
806;7,8;0,27;0,58
807;6,4;0,31;0,26
808;6,2;0,29;0,26
809;6;0,39;0,17
810;6,2;0,3;0,26
811;6;0,28;0,49
812;6;0,41;0,05
813;6,4;0,35;0,28
814;6,5;0,26;0,32
815;7,9;0,35;0,24
816;6,2;0,3;0,17
817;8,4;0,18;0,42
818;6,6;0,56;0,22
819;6,2;0,3;0,17
820;6,6;0,56;0,22
821;6,6;0,36;0,29
822;7,3;0,655;0,2
823;6,8;0,18;0,21
824;6,7;0,19;0,23
825;8,4;0,18;0,42
826;7;0,21;0,37
827;6,8;0,25;0,38
828;7,4;0,24;0,36
829;7,1;0,16;0,36
830;7,1;0,16;0,36
831;7,3;0,205;0,31
832;7,4;0,17;0,4
833;7,3;0,3;0,34
834;6,9;0,25;0,34
835;7,3;0,205;0,31
836;7,5;0,42;0,34
837;7,3;0,25;0,36
838;7,3;0,25;0,36
839;7,3;0,25;0,36
840;7,5;0,34;0,35
841;7,6;0,33;0,35
842;8,7;0,23;0,32
843;8,7;0,23;0,32
844;6,9;0,19;0,35
845;7,3;0,21;0,29
846;7,3;0,21;0,29
847;6,6;0,22;0,37
848;9,2;0,34;0,27
849;8,7;0,23;0,32
850;6;0,2;0,24
851;6,9;0,19;0,35
852;8,2;0,38;0,49
853;6,9;0,18;0,36
854;7,7;0,34;0,58
